Protein IDs,Majority protein IDs,Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Q-value,Score,WT_Rep1,WT_Rep2,WT_Rep3,WT_Rep4,WT_Rep5,Mut_Rep1,Mut_Rep2,Mut_Rep3,Mut_Rep4,Mut_Rep5
B2RPU7;P58334;Q9JJZ6;Q19A41,B2RPU7;P58334;Q9JJZ6;Q19A41,Krueppel-like factor 16;Krueppel-like factor 13;Krueppel-like factor 14,Klf16;Klf13;Klf14,>tr|B2RPU7|B2RPU7_MOUSE Krueppel-like factor 16 OS=Mus musculus GN=Klf16 PE=1 SV=1;>sp|P58334|KLF16_MOUSE Krueppel-like factor 16 OS=Mus musculus GN=Klf16 PE=1 SV=2;>sp|Q9JJZ6|KLF13_MOUSE Krueppel-like factor 13 OS=Mus musculus GN=Klf13 PE=1 SV=2;>sp|Q19A4,4,1,1,1,2.4,2.4,2.4,0.031926,1.3226,471352.3032,449021.3178,422974.1343,435595.0815,448255.393,73697.97012,50563.62007,15753,15502.41444,17318.92168
E9Q6P2;Q3V074;G3X8U7;E0CZ78;P63328-2;P48455;P63328;P48453-2;P48453,E9Q6P2;Q3V074;G3X8U7;E0CZ78;P63328-2;P48455;P63328;P48453-2;P48453,Serine/threonine-protein phosphatase;Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform;Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform;Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform,Ppp3cb;Ppp3cc;Ppp3ca,>tr|E9Q6P2|E9Q6P2_MOUSE Serine/threonine-protein phosphatase OS=Mus musculus GN=Ppp3cb PE=1 SV=1;>tr|Q3V074|Q3V074_MOUSE Serine/threonine-protein phosphatase OS=Mus musculus GN=Ppp3cc PE=1 SV=1;>tr|G3X8U7|G3X8U7_MOUSE Serine/threonine-protein phosphatase O,9,1,1,1,2,2,2,0.013544,1.7011,23292.16059,46179.30046,26995.89275,22288.84941,26938.74882,23039.69591,23950.29972,40219,104089.3208,21058.23432
Q9JHI5,Q9JHI5,"Isovaleryl-CoA dehydrogenase, mitochondrial",Ivd,">sp|Q9JHI5|IVD_MOUSE Isovaleryl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Ivd PE=1 SV=1",1,1,1,1,2.6,2.6,2.6,0.045236,1.1266,64897.47481,67109.52319,64376.76819,61002.36383,56762.44354,26044.83124,22789.13928,26215,27416.98056,22432.92373
A0A0A6YXQ0,A0A0A6YXQ0,,,>tr|A0A0A6YXQ0|A0A0A6YXQ0_MOUSE Protein Ighv8-8 (Fragment) OS=Mus musculus GN=Ighv8-8 PE=4 SV=1,1,3,1,1,24.4,13.4,13.4,0.0014104,2.6295,11202.45014,10151.32152,12181.45752,10838.84379,11286.78444,18294.07824,22876.54914,22204,17286.71111,22512.63013
P01747;P01746,P01747;P01746,Ig heavy chain V region 36-65;Ig heavy chain V region 93G7,,>sp|P01747|HVM03_MOUSE Ig heavy chain V region 36-65 OS=Mus musculus PE=1 SV=1;>sp|P01746|HVM02_MOUSE Ig heavy chain V region 93G7 OS=Mus musculus PE=2 SV=1,2,2,1,1,20,8.3,8.3,1,-2,31623.95133,26570.89386,27008.85701,27444.75416,29842.57526,25963.90125,25496.85814,26527,28531.63111,23789.9006
E9QPG8;A0A140LI59;Q60997-4;Q60997-3;Q60997-2;Q60997,E9QPG8;A0A140LI59;Q60997-4;Q60997-3;Q60997-2;Q60997,Deleted in malignant brain tumors 1 protein,Dmbt1,>tr|E9QPG8|E9QPG8_MOUSE Deleted in malignant brain tumors 1 protein OS=Mus musculus GN=Dmbt1 PE=1 SV=1;>tr|A0A140LI59|A0A140LI59_MOUSE Deleted in malignant brain tumors 1 protein OS=Mus musculus GN=Dmbt1 PE=1 SV=1;>sp|Q60997-4|DMBT1_MOUSE Isoform 4 of Dele,6,1,1,1,1.5,1.5,1.5,0.0013699,2.5197,14728.1424,12553.48024,16044.18708,15410.80443,16053.49044,26238.86821,28340.65824,27396,28110.16056,25594.61096
Q3UX62,Q3UX62,Coiled-coil domain-containing protein 114,Ccdc114,>sp|Q3UX62|CC114_MOUSE Coiled-coil domain-containing protein 114 OS=Mus musculus GN=Ccdc114 PE=2 SV=1,1,1,1,1,1.5,1.5,1.5,0.052288,1.0306,33472.30512,27371.40382,31997.6244,30583.4537,30231.5143,47470.80263,22814.96492,23096,27564.60222,25616.25961
A0A0R4J0G0;Q8BH04,A0A0R4J0G0;Q8BH04,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial",Pck2,">tr|A0A0R4J0G0|A0A0R4J0G0_MOUSE Phosphoenolpyruvate carboxykinase [GTP], mitochondrial OS=Mus musculus GN=Pck2 PE=1 SV=1;>sp|Q8BH04|PCKGM_MOUSE Phosphoenolpyruvate carboxykinase [GTP], mitochondrial OS=Mus musculus GN=Pck2 PE=1 SV=1",2,1,1,1,1.6,1.6,1.6,0,4.0842,73000.19336,79931.51698,75575.41199,75949.8482,68769.20575,27116.42233,26430.55429,22672,20465.92556,25655.6208
Q8BGD9,Q8BGD9,Eukaryotic translation initiation factor 4B,Eif4b,>sp|Q8BGD9|IF4B_MOUSE Eukaryotic translation initiation factor 4B OS=Mus musculus GN=Eif4b PE=1 SV=1,1,1,1,1,2.6,2.6,2.6,0,4.2419,27503.80729,25657.82201,26251.99166,25992.93551,31503.43308,28216.29016,29517.71137,29345,30193.97944,26800.04727
Q76MZ3;H3BIV7;H3BLQ0;H3BLE7;Q3TTF6;H3BKU1;G3UWS4;Q7TNP2,Q76MZ3;H3BIV7;H3BLQ0;H3BLE7;Q3TTF6;H3BKU1;G3UWS4;Q7TNP2,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform;Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform,Ppp2r1a;Ppp2r1b,>sp|Q76MZ3|2AAA_MOUSE Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Mus musculus GN=Ppp2r1a PE=1 SV=3;>tr|H3BIV7|H3BIV7_MOUSE Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform OS=Mus mus,8,2,2,2,2.9,2.9,2.9,0,3.761,59480.51717,60500.44252,67154.82206,63281.23042,66906.3262,37086.4122,36720.0846,33021,34522.07556,27058.84707
Q9JKR6,Q9JKR6,Hypoxia up-regulated protein 1,Hyou1,>sp|Q9JKR6|HYOU1_MOUSE Hypoxia up-regulated protein 1 OS=Mus musculus GN=Hyou1 PE=1 SV=1,1,1,1,1,0.7,0.7,0.7,0.013483,1.6954,57163.29111,56204.22567,59823.84659,55302.10441,52549.5666,33943.79339,38093.8099,32483,30716.00389,27175.9466
H3BK84;P31324,H3BK84;P31324,cAMP-dependent protein kinase type II-beta regulatory subunit,Prkar2b,>tr|H3BK84|H3BK84_MOUSE cAMP-dependent protein kinase type II-beta regulatory subunit OS=Mus musculus GN=Prkar2b PE=1 SV=1;>sp|P31324|KAP3_MOUSE cAMP-dependent protein kinase type II-beta regulatory subunit OS=Mus musculus GN=Prkar2b PE=1 SV=3,2,1,1,1,2.7,2.7,2.7,0.013514,1.6992,65288.72757,67379.92325,66414.00769,63652.38133,70531.38912,38398.84314,28451.90714,28935,29456.94083,27225.14808
Q6PD02;B1AUZ9;B1AV01;O70583-3;O70583-2;O70583,Q6PD02;B1AUZ9;B1AV01;O70583-3;O70583-2;O70583,E3 ubiquitin-protein ligase Midline-1,Mid1,>tr|Q6PD02|Q6PD02_MOUSE E3 ubiquitin-protein ligase Midline-1 OS=Mus musculus GN=Mid1 PE=1 SV=1;>tr|B1AUZ9|B1AUZ9_MOUSE E3 ubiquitin-protein ligase Midline-1 OS=Mus musculus GN=Mid1 PE=1 SV=1;>tr|B1AV01|B1AV01_MOUSE E3 ubiquitin-protein ligase Midline-1 OS,6,1,1,1,2.8,2.8,2.8,0.055912,0.98681,57411.29488,51948.88325,48857.32462,55124.57056,56983.97516,33040.88771,24390.32886,26243,23226.87861,27640.40859
Q9Z206,Q9Z206,Neuroepithelial cell-transforming gene 1 protein,Net1,>sp|Q9Z206|ARHG8_MOUSE Neuroepithelial cell-transforming gene 1 protein OS=Mus musculus GN=Net1 PE=1 SV=2,1,1,1,1,1.5,1.5,1.5,0.052484,1.04,26638.00279,20639.69987,25208.6781,26153.14898,23278.44223,28546.83555,28585.00851,22098,29498.66,29462.83148
A0A087WQX3,A0A087WQX3,,,>tr|A0A087WQX3|A0A087WQX3_MOUSE SH3 domain-binding glutamic acid-rich-like protein 2 OS=Mus musculus GN=Sh3bgrl2 PE=1 SV=1,1,1,1,1,14.9,14.9,14.9,0.051996,1.0117,31302.11438,29319.54197,28718.28615,32110.7397,56201.06227,30784.59856,30472.2667,31998,34340.22278,29520.88923
Q3TXS7,Q3TXS7,26S proteasome non-ATPase regulatory subunit 1,Psmd1,>sp|Q3TXS7|PSMD1_MOUSE 26S proteasome non-ATPase regulatory subunit 1 OS=Mus musculus GN=Psmd1 PE=1 SV=1,1,1,1,1,0.8,0.8,0.8,0.043562,1.1542,59272.90078,61797.734,61517.8421,57496.84347,55722.126,37501.78782,36500.56668,39586,33311.15,30135.90776
E9Q7G0,E9Q7G0,,Numa1,>tr|E9Q7G0|E9Q7G0_MOUSE Protein Numa1 OS=Mus musculus GN=Numa1 PE=1 SV=1,1,1,1,1,0.4,0.4,0.4,0.0553,1.0024,20587.46809,21456.5596,44880.38618,42894.52944,114762.1915,77716.19294,47189.40108,53034,57111.39972,30704.67689
Q5SW83;P61161,Q5SW83;P61161,Actin-related protein 2,Actr2,>tr|Q5SW83|Q5SW83_MOUSE ARP2 actin-related protein 2 homolog (Yeast) OS=Mus musculus GN=Actr2 PE=1 SV=1;>sp|P61161|ARP2_MOUSE Actin-related protein 2 OS=Mus musculus GN=Actr2 PE=1 SV=1,2,2,1,1,4.6,3,3,0,3.8314,62696.36247,56982.09749,65827.52966,54671.14786,60495.75486,32093.12926,35668.18648,34777,34304.92194,32123.64763
G3X9T8;G3X8Q5;E9PZD8;Q61147,G3X9T8;G3X8Q5;E9PZD8;Q61147,Ceruloplasmin,Cp,>tr|G3X9T8|G3X9T8_MOUSE Ceruloplasmin OS=Mus musculus GN=Cp PE=1 SV=1;>tr|G3X8Q5|G3X8Q5_MOUSE Ceruloplasmin OS=Mus musculus GN=Cp PE=1 SV=1;>tr|E9PZD8|E9PZD8_MOUSE Ceruloplasmin OS=Mus musculus GN=Cp PE=1 SV=1;>sp|Q61147|CERU_MOUSE Ceruloplasmin OS=Mus mus,4,1,1,1,0.8,0.8,0.8,0.0060606,2.0236,71283.72962,63745.24331,68605.58352,70512.48735,64514.79163,51330.09064,46049.09982,40392,45249.25,34380.0276
D3YW87;D3Z576;Q8VHX6-2;Q8VHX6,D3YW87;D3Z576;Q8VHX6-2;Q8VHX6,Filamin-C,Flnc,>tr|D3YW87|D3YW87_MOUSE Filamin-C OS=Mus musculus GN=Flnc PE=1 SV=2;>tr|D3Z576|D3Z576_MOUSE Filamin-C OS=Mus musculus GN=Flnc PE=1 SV=2;>sp|Q8VHX6-2|FLNC_MOUSE Isoform 2 of Filamin-C OS=Mus musculus GN=Flnc;>sp|Q8VHX6|FLNC_MOUSE Filamin-C OS=Mus musculus G,4,3,1,1,1,0.4,0.4,0.014412,1.6523,27975.83482,29364.18942,31346.94245,31866.39868,29875.30152,33056.48867,38263.66314,37807,32411.51361,36860.76632
Q8CCK0,Q8CCK0,Core histone macro-H2A.2,H2afy2,>sp|Q8CCK0|H2AW_MOUSE Core histone macro-H2A.2 OS=Mus musculus GN=H2afy2 PE=1 SV=3,1,1,1,1,2.4,2.4,2.4,0.0013736,2.5305,32676.54748,32182.63847,29029.42818,33564.4141,32770.31705,31358.90898,39054.32499,38567,43607.22639,37852.6682
D3YVN7;Q8BFR5-2;Q8BFR5,D3YVN7;Q8BFR5-2;Q8BFR5,"Elongation factor Tu;Elongation factor Tu, mitochondrial",Gm9755;Tufm,">tr|D3YVN7|D3YVN7_MOUSE Elongation factor Tu OS=Mus musculus GN=Gm9755 PE=3 SV=1;>sp|Q8BFR5-2|EFTU_MOUSE Isoform 2 of Elongation factor Tu, mitochondrial OS=Mus musculus GN=Tufm;>sp|Q8BFR5|EFTU_MOUSE Elongation factor Tu, mitochondrial OS=Mus musculus GN=T",3,1,1,1,2,2,2,0.0026281,2.3562,82573.26506,89414.38439,89348.3857,83051.20231,86686.83445,46789.2356,43393.03224,35877,44297.19722,38438.16584
D3Z4T3;A0A0J9YVH9;Q99LS3,D3Z4T3;A0A0J9YVH9;Q99LS3,Phosphoserine phosphatase,Psph,>tr|D3Z4T3|D3Z4T3_MOUSE Phosphoserine phosphatase OS=Mus musculus GN=Psph PE=1 SV=2;>tr|A0A0J9YVH9|A0A0J9YVH9_MOUSE Phosphoserine phosphatase (Fragment) OS=Mus musculus GN=Psph PE=1 SV=1;>sp|Q99LS3|SERB_MOUSE Phosphoserine phosphatase OS=Mus musculus GN=Ps,3,1,1,1,7.9,7.9,7.9,0.047664,1.0979,63654.3007,70568.12867,63994.01411,65353.48968,62219.5478,42846.09242,44372.41991,43100,44495.09583,40609.91925
A2A7S7;Q91WQ3,A2A7S7;Q91WQ3,"Tyrosine--tRNA ligase, cytoplasmic;Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed",Yars,">tr|A2A7S7|A2A7S7_MOUSE Tyrosine--tRNA ligase OS=Mus musculus GN=Yars PE=1 SV=1;>sp|Q91WQ3|SYYC_MOUSE Tyrosine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Yars PE=1 SV=3",2,1,1,1,1.6,1.6,1.6,0.0094451,1.8566,42233.2118,60386.62296,41114.57983,47427.51924,42156.46086,45341.2713,41212.75239,45761,42252.95806,41256.42673
Q61206,Q61206,Platelet-activating factor acetylhydrolase IB subunit beta,Pafah1b2,>sp|Q61206|PA1B2_MOUSE Platelet-activating factor acetylhydrolase IB subunit beta OS=Mus musculus GN=Pafah1b2 PE=1 SV=2,1,1,1,1,3.9,3.9,3.9,0.0094899,1.891,67061.98607,70417.20771,66932.57775,65038.0114,68819.55385,40746.78795,44146.94222,49072,43302.35556,41310.54836
F6VNW5;H3BJA3;Q4FJZ6;O09172,F6VNW5;H3BJA3;Q4FJZ6;O09172,Glutamate--cysteine ligase regulatory subunit,Gclm,>tr|F6VNW5|F6VNW5_MOUSE Glutamate--cysteine ligase regulatory subunit (Fragment) OS=Mus musculus GN=Gclm PE=1 SV=1;>tr|H3BJA3|H3BJA3_MOUSE Glutamate--cysteine ligase regulatory subunit (Fragment) OS=Mus musculus GN=Gclm PE=1 SV=1;>tr|Q4FJZ6|Q4FJZ6_MOUSE Gc,4,1,1,1,8.5,8.5,8.5,0.015317,1.6049,68185.26014,66801.39288,69914.35556,64444.16995,64747.65158,51768.8677,43899.61207,39070,48408.13972,41448.31251
A0A0G2JDA6;Q9CPQ1,A0A0G2JDA6;Q9CPQ1,Cytochrome c oxidase subunit 6C,Cox6c,>tr|A0A0G2JDA6|A0A0G2JDA6_MOUSE Cytochrome c oxidase subunit 6C (Fragment) OS=Mus musculus GN=Cox6c PE=1 SV=1;>sp|Q9CPQ1|COX6C_MOUSE Cytochrome c oxidase subunit 6C OS=Mus musculus GN=Cox6c PE=1 SV=3,2,1,1,1,80,80,80,0.026261,1.4116,125112.5375,124031.8811,122012.1257,122758.164,118733.3976,65655.67414,60308.82538,58494,53341.69861,42207.98339
Q3U8S1;A2APM5;A2APM3;A2APM4;E9QKM8;Q80X37;A2APM1;A2APM2;P15379-2;P15379-3;P15379-6;P15379-11;P15379-5;P15379-12;P15379-13;P15379-10;P15379-9;P15379-4;P15379-8;P15379-7;P15379,Q3U8S1;A2APM5;A2APM3;A2APM4;E9QKM8;Q80X37;A2APM1;A2APM2;P15379-2;P15379-3;P15379-6;P15379-11;P15379-5;P15379-12;P15379-13;P15379-10;P15379-9;P15379-4;P15379-8;P15379-7;P15379,CD44 antigen,Cd44,>tr|Q3U8S1|Q3U8S1_MOUSE CD44 antigen OS=Mus musculus GN=Cd44 PE=1 SV=1;>tr|A2APM5|A2APM5_MOUSE CD44 antigen OS=Mus musculus GN=Cd44 PE=1 SV=1;>tr|A2APM3|A2APM3_MOUSE CD44 antigen OS=Mus musculus GN=Cd44 PE=1 SV=1;>tr|A2APM4|A2APM4_MOUSE CD44 antigen OS=Mus,21,1,1,1,1.6,1.6,1.6,0.048525,1.0963,91054.61532,89942.60777,92027.66432,88129.78395,88310.56055,54756.45196,48616.76425,53552,45115.53472,45663.89549
I7HJR3;Q01339,I7HJR3;Q01339,Beta-2-glycoprotein 1,Apoh,>tr|I7HJR3|I7HJR3_MOUSE Beta-2-glycoprotein 1 (Fragment) OS=Mus musculus GN=Apoh PE=1 SV=1;>sp|Q01339|APOH_MOUSE Beta-2-glycoprotein 1 OS=Mus musculus GN=Apoh PE=1 SV=1,2,1,1,1,9.1,9.1,9.1,0,3.4068,48236.41753,48428.6517,52453.97836,49312.34728,47978.58882,32684.0157,48195.60769,37900,45178.64833,46739.43989
A0A075B5N2;A0A140T8P2;A0A0G2JEI6;A0A0G2JDU3;A0A0G2JGT0;A0A075B5N6;A0A0G2JDG9,A0A075B5N2;A0A140T8P2;A0A0G2JEI6,,Igkv6-29,>tr|A0A075B5N2|A0A075B5N2_MOUSE Protein Igkv6-29 OS=Mus musculus GN=Igkv6-29 PE=4 SV=6;>tr|A0A140T8P2|A0A140T8P2_MOUSE Protein Igkv6-20 (Fragment) OS=Mus musculus GN=Igkv6-20 PE=4 SV=1;>tr|A0A0G2JEI6|A0A0G2JEI6_MOUSE Protein Igkv6-29 (Fragment) OS=Mus musc,7,3,1,0,20.9,7.8,0,0.039409,1.2081,32528.25006,28483.18828,35912.82831,30186.32222,35237.37375,48506.3165,53153.13696,51446,57506.12722,46994.30356
Q8CIV3-3;Q8CIV3-2;Q8CIV3,Q8CIV3-3;Q8CIV3-2;Q8CIV3,Lipase member H,Liph,>sp|Q8CIV3-3|LIPH_MOUSE Isoform 3 of Lipase member H OS=Mus musculus GN=Liph;>sp|Q8CIV3-2|LIPH_MOUSE Isoform 2 of Lipase member H OS=Mus musculus GN=Liph;>sp|Q8CIV3|LIPH_MOUSE Lipase member H OS=Mus musculus GN=Liph PE=2 SV=2,3,1,1,1,1.7,1.7,1.7,0.031795,1.315,54012.44424,51406.1966,57527.32206,50287.85559,52589.21572,61115.79415,51035.43461,74782,57354.22667,47848.44129
Q8BP43;E9Q450;E9Q448;S4R2U0,Q8BP43;E9Q450;E9Q448,,Tpm1,">tr|Q8BP43|Q8BP43_MOUSE Tropomyosin 1, alpha, isoform CRA_c OS=Mus musculus GN=Tpm1 PE=1 SV=1;>tr|E9Q450|E9Q450_MOUSE Tropomyosin alpha-1 chain OS=Mus musculus GN=Tpm1 PE=1 SV=1;>tr|E9Q448|E9Q448_MOUSE Tropomyosin alpha-1 chain OS=Mus musculus GN=Tpm1 PE=1",4,11,1,0,30.3,2.5,0,0.013683,1.734,123383.4527,112605.9063,120913.251,113683.5242,107115.5744,54710.62413,55290.70518,50629,47997.36639,48137.74601
D6RGM3;D3YWS2;E9QK48;Q7TNG5;Q7TNG5-2,D6RGM3;D3YWS2;E9QK48;Q7TNG5;Q7TNG5-2,Echinoderm microtubule-associated protein-like 2,Eml2,>tr|D6RGM3|D6RGM3_MOUSE Echinoderm microtubule-associated protein-like 2 OS=Mus musculus GN=Eml2 PE=1 SV=1;>tr|D3YWS2|D3YWS2_MOUSE Echinoderm microtubule-associated protein-like 2 OS=Mus musculus GN=Eml2 PE=1 SV=2;>tr|E9QK48|E9QK48_MOUSE Echinoderm microtu,5,1,1,1,2.3,2.3,2.3,0.047801,1.1045,91540.52601,93332.04115,92373.37769,90653.61015,93018.10753,76825.96303,54289.46505,49759,50301.54806,49352.03858
B2RR26;B2RXC6;Q8BZW8,B2RR26;B2RXC6;Q8BZW8,DNA-directed RNA polymerase;NHL repeat-containing protein 2,Nhlrc2;Polr3a,>tr|B2RR26|B2RR26_MOUSE NHL repeat containing 2 OS=Mus musculus GN=Nhlrc2 PE=1 SV=1;>tr|B2RXC6|B2RXC6_MOUSE DNA-directed RNA polymerase subunit OS=Mus musculus GN=Polr3a PE=1 SV=1;>sp|Q8BZW8|NHLC2_MOUSE NHL repeat-containing protein 2 OS=Mus musculus GN=Nh,3,1,1,1,0.8,0.8,0.8,0.040078,1.1835,112838.5596,151141.0598,126271.8083,109458.5897,104094.6887,55705.18547,57751.09389,57363,51877.24889,49961.15293
D3YZM4;E9Q5B2;E9Q7K5;G5E8X1;Q9DCS2,D3YZM4;E9Q5B2;E9Q7K5;G5E8X1;Q9DCS2,UPF0585 protein C16orf13 homolog,0610011F06Rik,>tr|D3YZM4|D3YZM4_MOUSE Protein 0610011F06Rik OS=Mus musculus GN=0610011F06Rik PE=1 SV=2;>tr|E9Q5B2|E9Q5B2_MOUSE Protein 0610011F06Rik OS=Mus musculus GN=0610011F06Rik PE=1 SV=1;>tr|E9Q7K5|E9Q7K5_MOUSE Protein 0610011F06Rik OS=Mus musculus GN=0610011F06Rik,5,1,1,1,9.9,9.9,9.9,0.043689,1.1604,81910.65957,79208.35402,83798.45143,81541.85527,82470.1814,62080.12862,53324.97679,52599,55377.38,50523.03386
D3YX34;E9Q586;E9Q3M3;O08788-2;O08788,D3YX34;E9Q586;E9Q3M3;O08788-2;O08788,Dynactin subunit 1,Dctn1,>tr|D3YX34|D3YX34_MOUSE Dynactin subunit 1 OS=Mus musculus GN=Dctn1 PE=1 SV=1;>tr|E9Q586|E9Q586_MOUSE Dynactin subunit 1 OS=Mus musculus GN=Dctn1 PE=1 SV=1;>tr|E9Q3M3|E9Q3M3_MOUSE Dynactin subunit 1 OS=Mus musculus GN=Dctn1 PE=1 SV=1;>sp|O08788-2|DCTN1_MOU,5,1,1,1,0.9,0.9,0.9,0.017297,1.5531,72741.4617,68008.76061,75563.06508,74125.02289,65918.24481,46107.66857,47888.67991,49395,51143.41944,50767.07321
